"","GMCF_2615_053","GMCF_2615_054","GMCF_2615_055","GMCF_2615_057","GMCF_2615_058","GMCF_2615_059","GMCF_2615_060","GMCF_2615_061","GMCF_2615_062","GMCF_2615_063","GMCF_2615_064","GMCF_2615_065","GMCF_2615_066","GMCF_2615_068","GMCF_2615_120","GMCF_2615_121","GMCF_2615_122","GMCF_2615_123","GMCF_2615_124","GMCF_2615_125","GMCF_2615_126","GMCF_2615_127","GMCF_2615_128","GMCF_2615_129","GMCF_2615_130","GMCF_2615_131","GMCF_2615_132","GMCF_2615_133","GMCF_2615_135"
"Unclassified Methylobacterium",0,0,32,0,0,0,443,2,85,271,26,0,0,0,0,0,0,0,0,0,0,644,0,93,284,0,0,0,1
"Unclassified Methylorubrum",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0
"Unclassified Methylobacteriaceae",0,0,0,0,0,0,194,0,1,107,0,0,0,0,0,0,0,0,0,0,0,89,0,33,21,0,0,0,0
"Afipia felis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Afipia",2,2,32,0,0,0,58,28,179,38,64,0,0,0,0,2,2,9,0,0,0,6,0,17,2,0,2,0,0
"Unclassified Bradyrhizobium",222,193,165,174,0,65,1712,4550,2600,994,436,0,170,1,5,56,13,60,1,132,27,1211,0,1621,396,0,29,214,2
"Unclassified Nitrobacteraceae",6,25,5,33,0,0,189,436,612,267,90,0,94,0,0,0,1,27,0,0,0,181,0,193,149,0,6,6,0
"Unclassified Rhizobiaceae",31,100,18,35,0,0,411,850,1083,92,88,0,265,0,1,1,0,8,0,0,0,75,0,687,117,0,0,77,0
"Unclassified Hyphomicrobiales",54,164,111,74,0,0,879,1701,2047,508,341,0,1175,0,0,12,0,22,0,9,0,596,0,1938,270,1,0,142,0
"Cereibacter sphaeroides",0,3,2,0,0,0,13,22,89,4,0,0,10320,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
"Unclassified Cereibacter",46,143,0,0,0,0,198,788,796,379,72,0,28873,0,0,0,0,1,0,0,0,6,0,208,23,0,0,2,0
